Space Invaders, Taito, 1978, Matamarcianos,
Bubble Bobble, Taito, 1986, Plataformas,
Qix, Taito, 1981, Puzzle,
Double Dragon, Taito, 1987, Peleas,
Out run, Sega, 1986, Carreras,
Super Mario Bros, Nintendo, 1985, Plataformas,
Donkey Kong, Nintendo, 1981, Plataformas,
Mario Bros, Nintendo, 1983, Plataformas,
Pac-Man, Namco, 1980, Laberinto,
Galaga, Namco, 1981, Matamarcianos,
Gyruss, Konami, 1983, Matamarcianos,
Fall Guys, Epic Games, 2020, Plataformas,
Street Fighter, Capcom, 1987, Peleas,
Final Fight, Capcom, 1989, Peleas,
Asteroids, Atari, 1979, Disparos,
